"id","year","state_name","state_code","district_name","district_code","registration_circles","male_below_12_years","male_12_years_to_16_years","male_16_years_to_18_years","male_children","male_18_years_and_above","female_below_12_years","female_12_years_to_16_years","female_16_years_to_18_years","female_children","female_18_years_and_above","transgender_below_12_years","transgender_12_years_to_16_years","transgender_16_years_to_18_years","transgender_children","transgender_18_years_and_above"
294,"2021","Jharkhand","20","Garhwa","328","Garhwa",12.0,5.0,6.0,23.0,34.0,9.0,8.0,5.0,22.0,42.0,0.0,0.0,0.0,0.0,0.0
295,"2021","Jharkhand","20","Giridih","329","Giridih",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,"2021","Jharkhand","20","Godda","330","Godda",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,"2021","Jharkhand","20","Gumla","331","Gumla",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,"2021","Jharkhand","20","Hazaribagh","332","Hazaribagh",5.0,3.0,3.0,11.0,32.0,3.0,8.0,6.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0
299,"2021","Jharkhand","20","East Singhbum","327","Jamshedpur",1.0,2.0,1.0,4.0,30.0,1.0,3.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0
300,"2021","Jharkhand","20","East Singhbum","327","Jamshedpur Railway",0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
301,"2021","Jharkhand","20","Jamtara","333","Jamtara",2.0,1.0,2.0,5.0,19.0,4.0,4.0,11.0,19.0,32.0,0.0,0.0,0.0,0.0,0.0
302,"2021","Jharkhand","20","Khunti","606","Khunti",6.0,2.0,0.0,8.0,0.0,16.0,12.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
303,"2021","Jharkhand","20","Koderma","334","Koderma",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,"2021","Jharkhand","20","Latehar","335","Latehar",2.0,2.0,3.0,7.0,13.0,4.0,5.0,4.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0
305,"2021","Jharkhand","20","Lohardaga","336","Lohardagga",1.0,4.0,9.0,14.0,15.0,5.0,8.0,20.0,33.0,46.0,0.0,0.0,0.0,0.0,0.0
306,"2021","Jharkhand","20","Pakur","337","Pakur",0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
307,"2021","Jharkhand","20","Palamu","338","Palamu",2.0,6.0,3.0,11.0,0.0,5.0,13.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
308,"2021","Jharkhand","20","Ramgarh","607","Ramgarh",0.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0
309,"2021","Jharkhand","20","Ranchi","339","Ranchi",0.0,11.0,15.0,26.0,24.0,0.0,7.0,10.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0
310,"2021","Jharkhand","20","Sahebganj","340","Sahebganj",1.0,2.0,16.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,"2021","Jharkhand","20","Saraikela Kharsawan","341","Saraikela",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,"2021","Jharkhand","20","Simdega","342","Simdega",0.0,2.0,0.0,2.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
313,"2021","Karnataka","29","Bagalkote","524","Bagalkot",14.0,0.0,0.0,14.0,71.0,12.0,1.0,0.0,13.0,165.0,0.0,0.0,0.0,0.0,0.0
314,"2021","Karnataka","29","Bengaluru Urban","525","Bengaluru City",100.0,28.0,1.0,129.0,1496.0,150.0,24.0,11.0,185.0,2395.0,0.0,0.0,0.0,0.0,0.0
315,"2021","Karnataka","29","Bengaluru Urban","525","Bengaluru District",15.0,12.0,13.0,40.0,306.0,15.0,7.0,0.0,22.0,592.0,0.0,0.0,0.0,0.0,0.0
316,"2021","Karnataka","29","Belagavi","527","Belagavi District",4.0,2.0,0.0,6.0,140.0,6.0,0.0,1.0,7.0,295.0,0.0,0.0,0.0,0.0,0.0
317,"2021","Karnataka","29","Ballari","528","Ballari",12.0,6.0,1.0,19.0,147.0,6.0,8.0,2.0,16.0,225.0,0.0,0.0,0.0,0.0,0.0
318,"2021","Karnataka","29","Bidar","529","Bidar",4.0,2.0,4.0,10.0,52.0,3.0,1.0,5.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0
319,"2021","Karnataka","29","Vijayapura","530","Vijayapura",2.0,5.0,0.0,7.0,86.0,10.0,36.0,3.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
320,"2021","Karnataka","29","Chikkaballapura","630","Chikkaballapura",14.0,1.0,5.0,20.0,90.0,13.0,2.0,0.0,15.0,362.0,0.0,0.0,0.0,0.0,0.0
321,"2021","Karnataka","29","Chamarajanagara","531","Chamarajnagar",9.0,0.0,0.0,9.0,60.0,8.0,0.0,0.0,8.0,142.0,0.0,0.0,0.0,0.0,0.0
322,"2021","Karnataka","29","Chikkamagaluru","532","Chikkamagaluru",18.0,0.0,0.0,18.0,89.0,1.0,2.0,10.0,13.0,226.0,0.0,0.0,0.0,0.0,0.0
323,"2021","Karnataka","29","Chitradurga","533","Chitradurga",5.0,10.0,0.0,15.0,129.0,9.0,10.0,0.0,19.0,448.0,0.0,0.0,0.0,0.0,0.0
324,"2021","Karnataka","29","Dakshina Kannada","534","Dakshina Kannada",3.0,1.0,0.0,4.0,84.0,5.0,1.0,0.0,6.0,79.0,0.0,0.0,0.0,0.0,0.0
325,"2021","Karnataka","29","Davangere","535","Davanagere",0.0,0.0,1.0,1.0,178.0,0.0,0.0,358.0,358.0,385.0,0.0,0.0,0.0,0.0,0.0
326,"2021","Karnataka","29","Dharwad","536","Dharwad",2.0,2.0,0.0,4.0,47.0,4.0,2.0,0.0,6.0,62.0,0.0,0.0,0.0,0.0,0.0
327,"2021","Karnataka","29","Gadag","537","Gadag",7.0,2.0,1.0,10.0,50.0,0.0,0.0,14.0,14.0,131.0,0.0,0.0,0.0,0.0,0.0
328,"2021","Karnataka","29","Kalaburagi","538","Kalaburgi",14.0,0.0,0.0,14.0,51.0,9.0,0.0,0.0,9.0,119.0,0.0,0.0,0.0,0.0,0.0
